sep=,
DeviceTag:,Shank
FirmwareVersion:,1.6.0
AppVersion:,2020.4.1
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Orientation(Euler)
StartTime: ,2021-04-15_09:59:44_798 CDT
© Xsens Technologies B. V. 2005-2020

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z
110,1587367337,19.396929,-66.970024,99.243736
111,1587384004,19.387289,-66.956253,99.235680
112,1587400671,19.389265,-66.943459,99.226913
113,1587417338,19.399551,-66.925323,99.222641
114,1587434005,19.386198,-66.910843,99.218407
115,1587450672,19.385382,-66.898438,99.211761
116,1587467339,19.357166,-66.886620,99.232178
117,1587484006,19.314568,-66.881783,99.253235
118,1587500673,19.287601,-66.876976,99.269966
119,1587517340,19.250891,-66.871101,99.297348
120,1587534007,19.232113,-66.863197,99.319923
121,1587550674,19.240284,-66.849953,99.331650
122,1587567341,19.245079,-66.834251,99.358414
123,1587584008,19.254179,-66.814674,99.393661
124,1587600675,19.260443,-66.792145,99.436577
125,1587617342,19.267950,-66.770988,99.473122
126,1587634009,19.258566,-66.756996,99.511032
127,1587650676,19.203964,-66.756363,99.559021
128,1587667343,19.138279,-66.763649,99.601913
129,1587684010,19.071701,-66.772278,99.640846
130,1587700677,19.009356,-66.778168,99.681793
131,1587717344,18.945723,-66.784523,99.727173
132,1587734011,18.872896,-66.790886,99.771004
133,1587750678,18.784431,-66.798584,99.813805
134,1587767345,18.689383,-66.808464,99.858513
135,1587784012,18.601597,-66.816978,99.895485
136,1587800679,18.535095,-66.824654,99.911308
137,1587817346,18.496984,-66.828934,99.907623
138,1587834013,18.497932,-66.828133,99.884285
139,1587850680,18.502911,-66.824944,99.850471
140,1587867347,18.501312,-66.822220,99.810875
141,1587884014,18.518415,-66.819466,99.754692
142,1587900681,18.545115,-66.812744,99.691490
143,1587917348,18.574955,-66.801979,99.628143
144,1587934015,18.609632,-66.785393,99.568565
145,1587950682,18.647053,-66.765358,99.509796
146,1587967349,18.689266,-66.743073,99.449188
147,1587984016,18.726681,-66.720352,99.385124
148,1588000683,18.750168,-66.697266,99.328278
149,1588017350,18.795046,-66.674911,99.268051
150,1588034017,18.821905,-66.649803,99.221588
151,1588050684,18.834108,-66.629478,99.186508
152,1588067351,18.846214,-66.608368,99.163071
